Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%


Noel Acciari,31,STL,C,34,9,4,13,3,8,1.5,9,0,0,0,3,0,1,46,19.6,463,13:37,36,102,144,120,54.5
Calen Addison,22,MIN,D,32,2,14,16,-8,16,1.8,2,0,0,1,2,12,0,38,5.3,530,16:34,19,8,0,0,
Sebastian Aho,26,NYI,D,31,3,5,8,5,2,1.8,3,0,0,0,5,0,0,38,7.9,484,15:37,22,15,0,0,
Sebastian Aho,25,CAR,F,27,11,16,27,0,18,2.9,9,2,0,3,11,4,1,79,13.9,536,19:51,7,29,216,180,54.5
Nikita Alexandrov,22,STL,C,9,0,1,1,1,0,0.0,0,0,0,0,1,0,0,9,0.0,84,9:18,5,9,4,11,26.7
Alexander Alexeyev,23,WSH,D,5,0,1,1,-1,2,0.1,0,0,0,0,1,0,0,3,0.0,61,12:10,8,6,0,0,
Wade Allison,25,PHI,RW,17,3,1,4,4,6,0.5,3,0,0,0,1,0,0,25,12.0,208,12:13,18,46,1,1,50.0
Michael Amadio,26,VEG,C,22,3,4,7,-2,6,0.5,3,0,0,0,4,0,0,31,9.7,234,10:38,8,26,19,20,48.7
Nils Aman,22,VAN,C,33,1,4,5,-8,2,-0.5,1,0,0,0,4,0,0,21,4.8,401,12:09,21,23,78,133,37.0
Joey Anderson,24,TOR,RW,6,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,3,33.3,57,9:26,2,10,0,0,
Josh Anderson,28,MTL,RW,32,8,3,11,-6,31,0.8,7,1,0,3,3,0,0,70,11.4,505,15:47,11,66,13,12,52.0
Michael Anderson,23,LAK,D,37,2,6,8,8,14,2.1,2,0,0,0,6,0,0,44,4.5,805,21:45,58,74,0,0,
Jaret Anderson-Dolan,23,LAK,C,22,3,2,5,-1,0,0.3,3,0,0,0,2,0,0,27,11.1,218,9:54,15,33,16,14,53.3
Lias Andersson,24,LAK,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,9,8:37,0,2,0,0,
Rasmus Andersson,26,CGY,D,35,5,19,24,5,12,3.9,5,0,0,4,9,10,0,70,7.1,869,24:49,61,27,0,0,
Mason Appleton,27,WPG,C,14,1,5,6,1,6,0.3,1,0,0,0,5,0,0,23,4.3,232,16:34,3,26,0,2,0.0
Josh Archibald,30,PIT,RW,30,4,2,6,8,18,0.7,4,0,0,0,2,0,0,41,9.8,307,10:15,11,109,1,2,33.3
Joel Armia,29,MTL,RW,23,0,3,3,-6,8,-0.5,0,0,0,0,3,0,0,43,0.0,338,14:42,15,15,2,5,28.6
Viktor Arvidsson,29,LAK,LW,33,9,15,24,-3,10,2.0,5,4,0,2,9,6,0,78,11.5,545,16:32,17,6,15,16,48.4
Rasmus Asplund,25,BUF,F,21,2,6,8,1,0,0.5,1,0,1,0,6,0,0,25,8.0,252,11:59,7,9,19,29,39.6

Zach Aston-Reese,28,TOR,C,32,3,1,4,-4,15,-0.1,3,0,0,1,1,0,0,33,9.1,374,11:40,23,70,4,5,44.4
