Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Noel Acciari,31,STL,C,35,9,4,13,3,8,1.5,9,0,0,0,3,0,1,48,18.8,476,13:36,38,111,146,123,54.3
Calen Addison,22,MIN,D,33,2,14,16,-7,16,1.9,2,0,0,1,2,12,0,38,5.3,547,16:35,20,10,0,0,54.4
Sebastian Aho,26,NYI,D,32,3,5,8,5,2,1.8,3,0,0,0,5,0,0,38,7.9,502,15:41,23,15,0,0,26.7
Sebastian Aho,25,CAR,F,28,11,16,27,0,18,2.8,9,2,0,3,11,4,1,82,13.4,554,19:46,7,30,221,185,50
Nikita Alexandrov,22,STL,C,9,0,1,1,1,0,0,0,0,0,0,1,0,0,9,0,84,9:18,5,9,4,11,48.7
Alexander Alexeyev,23,WSH,D,6,0,1,1,-1,2,0.1,0,0,0,0,1,0,0,3,0,77,12:45,10,6,0,0,36.4
Wade Allison,25,PHI,RW,17,3,1,4,4,6,0.5,3,0,0,0,1,0,0,25,12,208,12:13,18,46,1,1,52
Michael Amadio,26,VEG,C,23,4,4,8,-4,8,0.6,3,1,0,0,4,0,0,35,11.4,253,11:00,8,26,19,20,53.3
Nils Aman,22,VAN,C,34,1,4,5,-8,2,-0.5,1,0,0,0,4,0,0,22,4.5,412,12:08,21,23,78,136,0
Joey Anderson,24,TOR,RW,7,1,0,1,-2,0,0,1,0,0,0,0,0,0,4,25,64,9:11,3,12,0,0,33.3
Josh Anderson,28,MTL,RW,32,8,3,11,-6,31,0.8,7,1,0,3,3,0,0,70,11.4,505,15:47,11,66,13,12,28.6
Michael Anderson,23,LAK,D,38,2,6,8,10,14,2.2,2,0,0,0,6,0,0,44,4.5,827,21:45,60,76,0,0,48.4
Jaret Anderson-Dolan,23,LAK,C,23,3,2,5,0,0,0.3,3,0,0,0,2,0,0,27,11.1,230,10:01,15,35,16,14,39.6
Lias Andersson,24,LAK,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,9,8:37,0,2,0,0,44.4
Rasmus Andersson,26,CGY,D,36,5,19,24,6,12,4,5,0,0,4,9,10,0,75,6.7,895,24:52:00,61,28,0,0,26.1
Mason Appleton,27,WPG,C,14,1,5,6,1,6,0.3,1,0,0,0,5,0,0,23,4.3,232,16:34,3,26,0,2,33.3
Josh Archibald,30,PIT,RW,30,4,2,6,8,18,0.7,4,0,0,0,2,0,0,41,9.8,307,10:15,11,109,1,2,40
Joel Armia,29,MTL,RW,23,0,3,3,-6,8,-0.5,0,0,0,0,3,0,0,43,0,338,14:42,15,15,2,5,0
Viktor Arvidsson,29,LAK,LW,34,10,17,27,-1,10,2.4,6,4,0,2,11,6,0,83,12,560,16:29,17,8,15,16,52.9
Rasmus Asplund,25,BUF,F,21,2,6,8,1,0,0.5,1,0,1,0,6,0,0,25,8,252,11:59,7,9,19,29,44.4
Zach Aston-Reese,28,TOR,C,33,3,1,4,-4,15,-0.1,3,0,0,1,1,0,0,34,8.8,384,11:39,24,72,4,5,0
Andreas Athanasiou,28,CHI,C,32,7,3,10,-11,22,0.6,6,1,0,1,2,1,0,64,10.9,511,15:59,25,20,6,17,0
Nicolas Aube-Kubel,26,TOT,RW,17,0,4,4,4,13,0.3,0,0,0,0,4,0,0,21,0,166,9:47,1,42,2,4,39.4
Nicolas Aube-Kubel,26,WSH,RW,11,0,4,4,5,9,0.4,0,0,0,0,4,0,0,19,0,112,10:10,0,21,2,3,56.5
Nicolas Aube-Kubel,26,TOR,RW,6,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0,54,9:05,1,21,0,1,0
Mikael Backlund,33,CGY,C,36,7,12,19,6,22,1.6,5,1,1,1,10,1,1,104,6.7,637,17:41,11,40,318,283,41.7
Kevin Bahl,22,NJD,D,8,1,1,2,1,4,0.4,1,0,0,0,1,0,0,8,12.5,94,11:45,13,9,0,0,31.3
Josh Bailey,33,NYI,C,32,6,9,15,3,2,1.4,6,0,0,2,7,2,0,41,14.6,498,15:33,15,5,28,35,29.4
Rudolfs Balcers,25,TOT,LW,17,3,2,5,-1,4,0.4,3,0,0,0,2,0,0,24,12.5,173,10:12,4,7,0,2,34.8
Rudolfs Balcers,25,FLA,LW,14,2,2,4,-2,4,0.2,2,0,0,0,2,0,0,21,9.5,153,10:55,4,7,0,2,51.3
Rudolfs Balcers,25,TBL,LW,3,1,0,1,1,0,0.2,1,0,0,0,0,0,0,3,33.3,21,6:53,0,0,0,0,22.2
Alexander Barabanov,28,SJS,F,31,4,17,21,-10,8,1.2,3,1,0,0,9,8,0,60,6.7,553,17:50,22,20,0,0,22.2
Ivan Barbashev,27,STL,C,35,5,11,16,3,15,1.2,5,0,0,1,8,3,0,55,9.1,559,15:59,16,72,41,63,33.3
Cole Bardreau,29,NYI,F,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7.3,7,6:37,0,2,0,0,45.1
Aleksander Barkov,27,FLA,C,25,6,16,22,5,0,1.8,2,4,0,1,10,6,0,82,0,539,21:33,17,11,330,254,60.3
Alex Barre-Boulet,25,TBL,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,10:01,0,0,0,1,44.9
Tyson Barrie,31,EDM,D,36,5,23,28,3,16,3.7,3,2,0,0,6,17,0,71,7.3,722,20:03,41,24,0,0,61.6
